age,gender,capital_gain,capital_loss,hours_per_week,workclass_fedGov,workclass_otherGov,workclass_private,workclass_selfEmployed,workclass_unEmployed,education_associates,education_bachelors,education_dropout,education_hs_grad,education_masters_doctorate,education_prof_school,marital_status_married,marital_status_single,occupation_blueCollar,occupation_other,occupation_professional,occupation_sales,occupation_whiteCollar,income,truth
36,0,0,0,40,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
23,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
36,0,0,0,40,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
47,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
43,1,0,0,48,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
23,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
51,0,0,0,40,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
27,1,0,0,30,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
21,1,0,0,43,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
61,1,0,0,40,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
28,1,0,0,50,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
25,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
69,1,0,0,35,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
30,0,0,0,37,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
28,1,0,0,40,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
43,1,0,0,40,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
44,1,0,0,42,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
47,1,0,0,40,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
23,1,0,0,40,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
41,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
50,1,27828,0,16,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1
52,1,0,0,50,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
27,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
48,1,0,0,50,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1
25,0,0,0,60,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
44,0,0,0,20,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
49,1,0,0,60,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
44,1,0,0,50,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
25,1,0,0,38,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
37,0,0,0,40,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
50,1,0,0,50,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
46,1,0,1902,60,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
38,1,0,0,60,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
26,1,0,0,40,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
42,1,0,0,28,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
61,1,0,0,60,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1
24,1,0,0,20,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
18,0,0,0,15,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
34,1,0,0,48,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
49,0,0,0,40,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
33,1,0,0,35,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
33,1,0,0,46,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
37,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
38,1,0,0,40,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
47,1,0,1485,47,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
59,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
26,1,0,0,38,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
56,1,0,0,32,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
26,0,0,0,45,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
52,1,0,0,95,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
26,1,0,0,40,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
22,0,0,0,55,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
27,0,0,0,45,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
24,0,0,0,40,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
25,0,0,0,43,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
46,1,0,1902,40,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
41,1,0,0,45,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
51,1,0,0,45,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
60,0,0,0,99,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
46,1,0,0,46,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
56,1,0,0,70,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
37,1,0,0,40,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
24,1,0,0,49,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
28,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
23,0,0,0,45,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
29,1,0,0,40,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
32,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
23,0,0,0,40,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
50,1,0,0,40,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
23,1,0,0,25,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
23,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
65,1,0,1668,40,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
30,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
20,0,0,0,20,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
41,0,0,0,30,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
58,1,0,0,60,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
25,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
17,1,0,0,10,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
43,1,0,0,40,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
31,1,0,0,40,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
37,1,27828,0,60,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
41,1,0,0,45,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
46,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
49,0,0,0,40,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
38,1,0,0,40,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
35,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
46,1,0,0,50,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
64,1,0,1977,50,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
25,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
40,1,0,0,40,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
42,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
